treatment,morph,colony,cpd,pp
paruv,green,a,16.71428571,3.488636364
paruv,green,c,7.428571429,4.738636364
paruv,green,d,33.85714286,5.519886364
paruv,green,e,21,3.232954545
paruv,green,f,12.07142857,4.639204545
paruv,green,g,15.64285714,3.048295455
paruv,green,h,5.285714286,6.017045455
paruv,red,i,13.14285714,2.977272727
paruv,red,j,24.21428571,3.232954545
paruv,red,k,23.14285714,2.764204545
paruv,yellow,l,23.14285714,4.46875
paruv,yellow,m,14.92857143,2.508522727
paruv,yellow,n,22.07142857,3.204545455
par,green,a,16.71428571,3.815340909
par,green,c,13.85714286,3.644886364
par,green,d,17.78571429,2.892045455
par,green,e,16.71428571,3.176136364
par,green,f,16,2.835227273
par,green,g,17.42857143,3.090909091
par,green,h,19.21428571,2.352272727
par,red,i,19.21428571,2.636363636
par,red,j,19.57142857,2.536931818
par,red,k,18.5,2.693181818
par,yellow,l,29.92857143,2.4375
par,yellow,m,10.64285714,3.403409091
par,yellow,n,17.78571429,2.551136364
