no,morph ,pam
1,green,0.573
2,green,0.592
3,green,0.613
4,green,0.529
5,green,0.491
6,green,0.463
7,green,0.591
8,green,0.501
9,green,0.602
10,green,0.625
11,green,0.516
12,green,0.418
13,red,0.517
14,red,0.501
15,red,0.726
16,red,0.518
17,red,0.655
18,red,0.654
19,red,0.601
20,red,0.505
21,red,0.674
22,red,0.642
23,red,0.546
24,red,0.586
25,yellow,0.531
26,yellow,0.586
27,yellow,0.572
28,yellow,0.544
29,yellow,0.788
30,yellow,0.609
31,yellow,0.656
32,yellow,0.638
33,yellow,0.555
34,yellow,0.571
35,yellow,0.575
36,yellow,0.614
